question,label
"What is a message broker?",low
"What is RabbitMQ?",low
"What is Kafka?",low
"What is a publish-subscribe model?",low
"What is a point-to-point model?",low
"What is a request-response model?",low
"What is a client-side rendering?",low
"What is a server-side rendering?",low
"What is a static site generation?",low
"What is a single-page application (SPA)?",low
"What is a progressive web app (PWA)?",low
"What is a web component?",low
"What is a shadow DOM?",low
"What is a virtual DOM?",low
"What is a state?",low
"What is a props?",low
"What is a component lifecycle?",low
"What is a hook in React?",low
"What is a stateful component?",low
"What is a stateless component?",low
"What is a controlled component?",low
"What is an uncontrolled component?",low
"What is a higher-order component (HOC)?",low
"What is a render prop?",low
"What is a context API in React?",low
"What is a Redux?",low
"What is an action in Redux?",low
"What is a reducer in Redux?",low
"What is a store in Redux?",low
"What is a middleware in Redux?",low
"What is a selector in Redux?",low
"What is a thunk in Redux?",low
"What is a saga in Redux?",low
"What is a Vuex?",low
"What is a mutation in Vuex?",low
"What is a getter in Vuex?",low
"What is a module in Vuex?",low
"What is a NgRx?",low
"What is an effect in NgRx?",low
"What is a state management library?",low
"What is a routing library?",low
"What is a React Router?",low
"What is a Vue Router?",low
"What is an Angular Router?",low
"What is a CSS-in-JS library?",low
"What is a styled-components?",low
"What is an Emotion?",low
"What is a CSS module?",low
"What is a BEM methodology?",low
"What is a utility-first CSS framework?",low
"What is a Tailwind CSS?",low
"What is a Bootstrap?",low
"What is a Material Design?",low
"What is a design system?",low
"What is a component library?",low
"What is a Storybook?",low
"What is a style guide?",low
"What is a pattern library?",low
"What is a token in a design system?",low
"What is a design token?",low
"What is a visual regression testing?",low
"What is a snapshot testing?",low
"What is a end-to-end testing framework?",low
"What is a Cypress?",low
"What is a Playwright?",low
"What is a Selenium?",low
"What is a Puppeteer?",low
"What is a unit testing framework?",low
"What is a Jest?",low
"What is a Mocha?",low
"What is a Chai?",low
"What is a Jasmine?",low
"What is a Karma?",low
"What is a testing library?",low
"What is a React Testing Library?",low
"What is a Enzyme?",low
"What is a mock object?",low
"What is a spy object?",low
"What is a stub object?",low
"What is a fake object?",low
"What is a dummy object?",low
"What is a test double?",low
"What is a dependency injection container?",low
"What is a service locator?",low
"What is an aspect-oriented programming (AOP)?",low
"What is a cross-cutting concern?",low
"What is an advice in AOP?",low
"What is a pointcut in AOP?",low
"What is a join point in AOP?",low
"What is an aspect in AOP?",low
"What is a weaving in AOP?",low
"What is a metaprogramming?",low
"What is a reflection?",low
"What is an introspection?",low
"What is a type erasure?",low
"What is a generic programming?",low
"What is a template metaprogramming?",low
"What is a preprocessor?",low
"What is a macro?",low
"What is a transpiler?",low
"What is a source-to-source compiler?",low
"What is a Babel?",low
"What is a TypeScript?",low
"What is a type system?",low
"What is a static type system?",low
"What is a dynamic type system?",low
"What is a strong typing?",low
"What is a weak typing?",low
"What is a type inference?",low
"What is a duck typing?",low
"What is a nominal type system?",low
"What is a structural type system?",low
"What is a gradual typing?",low
"What is a dependent type?",low
"What is a linear type?",low
"What is a refinement type?",low
"What is a type class?",low
"What is a higher-kinded type?",low
"What is a monad?",low
"What is a functor?",low
"What is an applicative functor?",low
"What is a category theory?",low
"What is a lambda calculus?",low
"What is a combinatory logic?",low
"What is a formal methods?",low
"What is a model checking?",low
"What is a static analysis?",low
"What is a symbolic execution?",low
"What is a abstract interpretation?",low
"What is a program synthesis?",low
"What is a program verification?",low
"What is a proof assistant?",low
"What is a Coq?",low
"What is a Isabelle/HOL?",low
"What is a Lean?",low
"What is a Agda?",low
"What is a formal specification language?",low
"What is a Z notation?",low
"What is a VDM?",low
"What is a B-Method?",low
"What is a TLA+?",low
"What is a Alloy?",low
"What is a logic programming?",low
"What is a Prolog?",low
"What is a Datalog?",low
"What is a constraint logic programming?",low
"What is a concurrent programming?",low
"What is a parallel programming?",low
"What is a distributed programming?",low
"What is a shared memory model?",low
"What is a message passing model?",low
"What is a dataflow programming?",low
"What is a reactive programming?",low
"What is a functional reactive programming (FRP)?",low
"What is a data parallel programming?",low
"What is a task parallel programming?",low
"What is a SIMD?",low
"What is a MIMD?",low
"What is a Flynn's taxonomy?",low
"What is a Amdahl's law?",low
"What is a Gustafson's law?",low
"What is a scalability analysis?",low
"What is a performance analysis?",low
"What is a bottleneck analysis?",low
"What is a profiling?",low
"What is a tracing?",low
"What is a benchmarking?",low
"What is a microbenchmark?",low
"What is a macrobenchmark?",low
"What is a workload?",low
"What is a synthetic workload?",low
"What is a real workload?",low
"What is a performance counter?",low
"What is a hardware performance counter?",low
"What is a software performance counter?",low
"What is a performance monitoring unit (PMU)?",low
"What is a time-to-live (TTL)?",low
"What is a cache eviction policy?",low
"What is a Least Recently Used (LRU) policy?",low
"What is a Least Frequently Used (LFU) policy?",low
"What is a First-In, First-Out (FIFO) policy?",low
"What is a Random Replacement (RR) policy?",low
"What is a write-through cache?",low
"What is a write-back cache?",low
"What is a write-around cache?",low
"What is a cache coherence?",low
"What is a MESI protocol?",low
"What is a cache prefetching?",low
"What is a hardware prefetching?",low
"What is a software prefetching?",low
"What is a branch prediction?",low
"What is a static branch prediction?",low
"What is a dynamic branch prediction?",low
"What is a branch target buffer?",low
"What is a speculative execution?",low
"What is an out-of-order execution?",low
"What is a register renaming?",low
"What is a micro-operation?",low
"What is a superscalar processor?",low
"What is a very long instruction word (VLIW) processor?",low
"What is a multi-core processor?",low
"What is a many-core processor?",low
"What is a heterogeneous computing?",low
"What is a GPGPU?",low
"What is a OpenCL?",low
"What is a CUDA?",low
"What is a SYCL?",low
"What is a data center?",low
"What is a server rack?",low
"What is a blade server?",low
"What is a storage area network (SAN)?",low
"What is a network attached storage (NAS)?",low
"What is a direct attached storage (DAS)?",low
"What is a RAID?",low
"What are the different RAID levels?",low
"What is a RAID 0?",low
"What is a RAID 1?",low
"What is a RAID 5?",low
"What is a RAID 6?",low
"What is a RAID 10?",low
"What is a hot spare?",low
"What is a cold spare?",low
"What is a load balancing algorithm?",low
"What is a round-robin algorithm?",low
"What is a weighted round-robin algorithm?",low
"What is a least connections algorithm?",low
"What is a least response time algorithm?",low
"What is a source IP hash algorithm?",low
"What is a sticky session?",low
"What is a session affinity?",low
"What is a health check?",low
"What is an active health check?",low
"What is a passive health check?",low
"What is a failover?",low
"What is an automatic failover?",low
"What is a manual failover?",low
"What is a graceful degradation?",low
"What is a circuit breaker pattern?",low
"What is a bulkhead pattern?",low
"What is a retry pattern?",low
"What is an exponential backoff?",low
"What is a jitter?",low
"What is a timeout pattern?",low
"What is a fallback pattern?",low
"What is a rate limiting?",low
"What is a throttling?",low
"What is a token bucket algorithm?",low
"What is a leaky bucket algorithm?",low
"What is a fixed window counter algorithm?",low
"What is a sliding window log algorithm?",low
"What is a sliding window counter algorithm?",low
"What is a distributed rate limiting?",low
"What is a consistent hashing?",low
"What is a rendezvous hashing?",low
"What is a bloom filter?",low
"What is a count-min sketch?",low
"What is a hyperloglog?",low
"What is a locality-sensitive hashing (LSH)?",low
"What is a geohash?",low
"What is a quadtree?",low
"What is a k-d tree?",low
s"What is a R-tree?",low
"What is a spatial index?",low
"What is a full-text search?",low
"What is an inverted index?",low
"What is a term frequency-inverse document frequency (TF-IDF)?",low
"What is a stemming?",low
"What is a lemmatization?",low
"What is a stop word?",low
"What is a n-gram?",low
"What is a bag-of-words model?",low
"What is a word embedding?",low
"What is a Word2Vec?",low
"What is a GloVe?",low
"What is a fastText?",low
"What is a transformer model?",low
"What is a BERT?",low
"What is a GPT?",low
"What is a large language model (LLM)?",low
"What is a prompt engineering?",low
"What is a fine-tuning?",low
"What is a transfer learning?",low
"What is a zero-shot learning?",low
"What is a one-shot learning?",low
"What is a few-shot learning?",low
"What is a generative AI?",low
"What is a variational autoencoder (VAE)?",low
"What is a generative adversarial network (GAN)?",low
"What is a diffusion model?",low
"What is a reinforcement learning?",low
"What is a Q-learning?",low
"What is a deep Q-network (DQN)?",low
"What is a policy gradient method?",low
"What is an actor-critic method?",low
"What is a Markov decision process (MDP)?",low
"What is a state in MDP?",low
"What is an action in MDP?",low
"What is a reward in MDP?",low
"What is a policy in MDP?",low
"What is a value function in MDP?",low
"What is a model-based reinforcement learning?",low
"What is a model-free reinforcement learning?",low
"What is an exploration-exploitation tradeoff?",low
"What is an epsilon-greedy strategy?",low
"What is a upper confidence bound (UCB) strategy?",low
"What is a Thompson sampling?",low
"What is a multi-armed bandit problem?",low
"What is a recommender system?",low
"What is a collaborative filtering?",low
"What is a content-based filtering?",low
"What is a hybrid recommender system?",low
"What is a matrix factorization?",low
"What is a singular value decomposition (SVD)?",low
"What is an alternating least squares (ALS)?",low
"What is a cold start problem?",low
"What is a data sparsity problem?",low
"What is a scalability problem in recommender systems?",low
"What is an evaluation metric for recommender systems?",low
"What is a mean average precision (MAP)?",low
"What is a normalized discounted cumulative gain (NDCG)?",low
"What is a coverage?",low
"What is a diversity?",low
"What is a serendipity?",low
"What is a novelty?",low
"What is a user profiling?",low
"What is an item profiling?",low
"What is a feature hashing?",low
"What is a one-hot encoding?",low
"What is a label encoding?",low
"What is a target encoding?",low
"What is a feature scaling?",low
"What is a standardization?",low
"What is a normalization?",low
"What is a robust scaling?",low
"What is a feature transformation?",low
"What is a log transformation?",low
"What is a box-cox transformation?",low
"What is a feature interaction?",low
"What is a polynomial feature?",low
"What is a feature crossing?",low
"What is a feature learning?",low
"What is an autoencoder?",low
"What is a restricted Boltzmann machine (RBM)?",low
"What is a deep belief network (DBN)?",low
"What is a convolutional neural network (CNN)?",low
"What is a convolution layer?",low
"What is a pooling layer?",low
"What is a fully connected layer?",low
"What is an activation function?",low
"What is a sigmoid function?",low
"What is a tanh function?",low
"What is a ReLU function?",low
"What is a leaky ReLU function?",low
"What is a softmax function?",low
"What is a loss function?",low
"What is a mean squared error (MSE)?",low
"What is a cross-entropy loss?",low
"What is a hinge loss?",low
"What is an optimization algorithm?",low
"What is a gradient descent?",low
"What is a stochastic gradient descent (SGD)?",low
"What is a mini-batch gradient descent?",low
"What is a momentum?",low
"What is a Nesterov accelerated gradient?",low
"What is an AdaGrad?",low
"What is an RMSprop?",low
"What is an Adam?",low
"What is a learning rate?",low
"What is a learning rate schedule?",low
"What is a batch normalization?",low
"What is a layer normalization?",low
"What is a dropout?",low
"What is a regularization?",low
"What is a L1 regularization?",low
"What is a L2 regularization?",low
"What is an elastic net regularization?",low
"What is an early stopping?",low
"What is a data augmentation?",low
"What is a transfer learning?",low
"What is a pre-trained model?",low
"What is a fine-tuning?",low
"What is a feature extraction?",low
"What is a recurrent neural network (RNN)?",low
"What is a vanishing gradient problem?",low
"What is an exploding gradient problem?",low
"What is a long short-term memory (LSTM)?",low
"What is a gated recurrent unit (GRU)?",low
"What is a sequence-to-sequence model?",low
"What is an encoder-decoder architecture?",low
"What is an attention mechanism?",low
"What is a self-attention?",low
"What is a multi-head attention?",low
"What is a transformer architecture?",low
"What is a positional encoding?",low
"What is a feed-forward network?",low
"What is a residual connection?",low
"What is a skip connection?",low
"What is a graph neural network (GNN)?",low
"What is a message passing in GNN?",low
"What is a graph convolution network (GCN)?",low
"What is a graph attention network (GAT)?",low
"What is a graph isomorphism network (GIN)?",low
"What is a node embedding?",low
"What is a graph embedding?",low
"What is a Node2Vec?",low
"What is a DeepWalk?",low
"What is a LINE?",low
"What is a time series analysis?",low
"What is a trend?",low
"What is a seasonality?",low
"What is a cycle?",low
"What is a stationary time series?",low
"What is a non-stationary time series?",low
"What is a differencing?",low
"What is a moving average?",low
"What is an exponential smoothing?",low
"What is a Holt-Winters method?",low
"What is an autoregressive (AR) model?",low
"What is a moving average (MA) model?",low
"What is an autoregressive moving average (ARMA) model?",low
"What is an autoregressive integrated moving average (ARIMA) model?",low
"What is a seasonal ARIMA (SARIMA) model?",low
"What is an autocorrelation function (ACF)?",low
"What is a partial autocorrelation function (PACF)?",low
"What is a cross-correlation function (CCF)?",low
"What is a Granger causality test?",low
"What is a vector autoregression (VAR) model?",low
"What is a state-space model?",low
"What is a Kalman filter?",low
"What is a particle filter?",low
"What is a hidden Markov model (HMM)?",low
"What is a conditional random field (CRF)?",low
"What is a survival analysis?",low
"What is a hazard function?",low
"What is a survival function?",low
"What is a Kaplan-Meier estimator?",low
"What is a Cox proportional hazards model?",low
"What is a censored data?",low
"What is a right-censored data?",low
"What is a left-censored data?",low
"What is an interval-censored data?",low
"What is an A/B testing?",low
"What is a hypothesis testing?",low
"What is a null hypothesis?",low
"What is an alternative hypothesis?",low
"What is a p-value?",low
"What is a significance level?",low
"What is a confidence interval?",low
"What is a statistical power?",low
"What is a Type I error?",low
"What is a Type II error?",low
"What is a t-test?",low
"What is a chi-squared test?",low
"What is an ANOVA?",low
"What is a regression analysis?",low
"What is a correlation analysis?",low
"What is a Pearson correlation coefficient?",low
"What is a Spearman rank correlation coefficient?",low
"What is a Kendall rank correlation coefficient?",low
"What is a covariance?",low
"What is a probability distribution?",low
"What is a probability density function (PDF)?",low
"What is a cumulative distribution function (CDF)?",low
"What is a normal distribution?",low
"What is a standard normal distribution?",low
"What is a binomial distribution?",low
"What is a Poisson distribution?",low
"What is a uniform distribution?",low
"What is an exponential distribution?",low
"What is a gamma distribution?",low
"What is a beta distribution?",low
"What is a chi-squared distribution?",low
"What is a t-distribution?",low
"What is an F-distribution?",low
"What is a central limit theorem?",low
"What is a law of large numbers?",low
"What is a Bayes' theorem?",low
"What is a Bayesian inference?",low
"What is a prior distribution?",low
"What is a posterior distribution?",low
"What is a likelihood function?",low
"What is a marginal likelihood?",low
"What is a maximum likelihood estimation (MLE)?",low
"What is a maximum a posteriori (MAP) estimation?",low
"What is a Markov chain Monte Carlo (MCMC)?",low
"What is a Metropolis-Hastings algorithm?",low
"What is a Gibbs sampling?",low
"What is a variational inference?",low
"What is a Monte Carlo simulation?",low
"What is a bootstrap method?",low
"What is a jackknife method?",low
"What is a permutation test?",low
"What is a statistical modeling?",low
"What is a linear model?",low
"What is a generalized linear model (GLM)?",low
"What is a logistic regression model?",low
"What is a Poisson regression model?",low
"What is a mixed-effects model?",low
"What is a hierarchical model?",low
"What is a time series model?",low
"What is a survival model?",low
"What is a causal inference?",low
"What is a randomized controlled trial (RCT)?",low
"What is an observational study?",low
"What is a confounding variable?",low
"What is a selection bias?",low
"What is an instrumental variable?",low
"What is a regression discontinuity design?",low
"What is a difference-in-differences method?",low
"What is a propensity score matching?",low
"What is a causal graph?",low
"What is a do-calculus?",low
"What is a counterfactual?",low
"What is an average treatment effect (ATE)?",low
"What is a conditional average treatment effect (CATE)?",low
"What is an uplift modeling?",low
"What is an experimental design?",low
"What is a full factorial design?",low
"What is a fractional factorial design?",low
"What is a randomized block design?",low
"What is a Latin square design?",low
"What is a response surface methodology?",low
"What is an optimization?",low
"What is a linear programming?",low
"What is a quadratic programming?",low
"What is a convex optimization?",low
"What is a non-convex optimization?",low
"What is a gradient descent method?",low
"What is a Newton's method?",low
"What is a quasi-Newton method?",low
"What is a conjugate gradient method?",low
"What is a genetic algorithm?",low
"What is a simulated annealing?",low
"What is a particle swarm optimization?",low
"What is a ant colony optimization?",low
"What is a numerical analysis?",low
"What is a floating-point arithmetic?",low
"What is a numerical stability?",low
"What is a condition number?",low
"What is an error analysis?",low
"What is a root-finding algorithm?",low
"What is a bisection method?",low
"What is a Newton-Raphson method?",low
"What is a secant method?",low
"What is a numerical integration?",low
"What is a trapezoidal rule?",low
"What is a Simpson's rule?",low
"What is a Monte Carlo integration?",low
"What is a numerical differentiation?",low
"What is a finite difference method?",low
"What is a system of linear equations?",low
"What is a Gaussian elimination?",low
"What is a LU decomposition?",low
"What is a QR decomposition?",low
"What is a Cholesky decomposition?",low
"What is a singular value decomposition (SVD)?",low
"What is an eigenvalue problem?",low
"What is a power iteration method?",low
"What is a QR algorithm?",low
"What is an ordinary differential equation (ODE)?",low
"What is a partial differential equation (PDE)?",low
"What is a Euler's method?",low
"What is a Runge-Kutta method?",low
"What is a finite element method (FEM)?",low
"What is a finite volume method (FVM)?",low
"What is a spectral method?",low
"What is a Fourier transform?",low
"What is a fast Fourier transform (FFT)?",low
"What is a wavelet transform?",low
"What is a signal processing?",low
"What is a filter?",low
"What is a low-pass filter?",low
"What is a high-pass filter?",low
"What is a band-pass filter?",low
"What is a band-stop filter?",low
"What is a finite impulse response (FIR) filter?",low
"What is an infinite impulse response (IIR) filter?",low
"What is a convolution?",low
"What is a correlation?",low
"What is a power spectral density?",low
"What is a information theory?",low
"What is an entropy?",low
"What is a mutual information?",low
"What is a Kullback-Leibler divergence?",low
"What is a channel capacity?",low
"What is a source coding?",low
"What is a Huffman coding?",low
"What is an arithmetic coding?",low
"What is a channel coding?",low
"What is an error detection code?",low
"What is an error correction code?",low
"What is a parity check?",low
"What is a checksum?",low
"What is a cyclic redundancy check (CRC)?",low
"What is a Hamming code?",low
"What is a Reed-Solomon code?",low
"What is a turbo code?",low
"What is a low-density parity-check (LDPC) code?",low
"What is a polar code?",low
"What is a cryptography?",low
"What is a symmetric-key cryptography?",low
"What is a public-key cryptography?",low
"What is a cryptographic protocol?",low
"What is a key management?",low
"What is a digital forensics?",low
"What is a data recovery?",low
"What is a steganography?",low
"What is a watermarking?",low
"What is a computer graphics?",low
"What is a computational geometry?",low
"What is a convex hull?",low
"What is a Delaunay triangulation?",low
"What is a Voronoi diagram?",low
"What is a human-computer interaction (HCI)?",low
"What is a user-centered design?",low
"What is a usability engineering?",low
"What is a software engineering?",low
"What is a requirements engineering?",low
"What is a software design?",low
"What is a software testing?",low
"What is a software maintenance?",low
"What is a software configuration management?",low
"What is a software quality assurance?",low
"What is a software project management?",low
"What is a software process model?",low
"What is a capability maturity model (CMM)?",low
"What is a personal software process (PSP)?",low
"What is a team software process (TSP)?",low
"What is a cleanroom software engineering?",low
"What is a formal methods in software engineering?",low
"What is a component-based software engineering?",low
"What is a service-oriented software engineering?",low
"What is a aspect-oriented software development?",low
"What is a model-driven engineering?",low
"What is a agile software development?",low
"What is a extreme programming (XP)?",low
"What is a feature-driven development (FDD)?",low
"What is a lean software development?",low
"What is a Kanban?",low
"What is a Scrum?",low
"What is a product backlog?",low
"What is a sprint backlog?",low
"What is a sprint planning?",low
"What is a daily scrum?",low
"What is a sprint review?",low
"What is a sprint retrospective?",low
"What is a product owner?",low
"What is a scrum master?",low
"What is a development team?",low
"What is a user story?",low
"What is an epic?",low
"What is a theme?",low
"What is a story point?",low
"What is a velocity?",low
"What is a burndown chart?",low
"What is a burnup chart?",low
"What is a pair programming?",low
"What is a refactoring?",low
"What is a continuous integration?",low
"What is a continuous delivery?",low
"What is a continuous deployment?",low
"What is a test-driven development (TDD)?",low
"What is a behavior-driven development (BDD)?",low
"What is a acceptance test-driven development (ATDD)?",low
"What is a specification by example?",low
"What is a Gherkin language?",low
"What is a Cucumber?",low
"What is a domain-specific language (DSL)?",low
"What is a code generation?",low
"What is a compiler construction?",low
"What is a lexical analysis?",low
"What is a parsing?",low
"What is a semantic analysis?",low
"What is an intermediate representation?",low
"What is a code optimization?",low
"What is a register allocation?",low
"What is a garbage collection algorithm?",low
"What is a mark-and-sweep algorithm?",low
"What is a copying collector?",low
"What is a generational collector?",low
"What is a reference counting?",low
"What is a concurrent garbage collection?",low
"What is a parallel garbage collection?",low
"What is a real-time garbage collection?",low
"What is a virtual machine implementation?",low
"What is a just-in-time (JIT) compilation?",low
"What is an ahead-of-time (AOT) compilation?",low
"What is a dynamic compilation?",low
"What is an adaptive optimization?",low
"What is a type system design?",low
"What is a language design?",low
"What is a programming language theory?",low
"What is a formal semantics?",low
"What is an operational semantics?",low
"What is a denotational semantics?",low
"What is an axiomatic semantics?",low
"What is a type theory?",low
"What is a category theory in programming?",low
"What is a lambda calculus?",low
"What is a simply typed lambda calculus?",low
"What is a polymorphic lambda calculus?",low
"What is a system F?",low
"What is a calculus of constructions?",low
"What is a dependent type theory?",low
"What is a logic and computation?",low
"What is a computability theory?",low
"What is a complexity theory?",low
"What is an automata theory?",low
"What is a formal language theory?",low
"What is a Chomsky hierarchy?",low
"What is a regular language?",low
"What is a context-free language?",low
"What is a context-sensitive language?",low
"What is a recursively enumerable language?",low
"What is a finite automaton?",low
"What is a pushdown automaton?",low
"What is a linear bounded automaton?",low
"What is a Turing machine?",low
"What is a Church-Turing thesis?",low
"What is a undecidable problem?",low
"What is a halting problem?",low
"What is a NP-complete problem?",low
"What is a PSPACE-complete problem?",low
"What is an EXPTIME-complete problem?",low
"What is a complexity class?",low
"What is a P class?",low
"What is a NP class?",low
"What is a co-NP class?",low
"What is a PSPACE class?",low
"What is an EXPTIME class?",low
"What is a reduction?",low
"What is a polynomial-time reduction?",low
"What is a Cook reduction?",low
"What is a Karp reduction?",low
"What is a SAT problem?",low
"What is a 3-SAT problem?",low
"What is a clique problem?",low
"What is a vertex cover problem?",low
"What is a set cover problem?",low
"What is a traveling salesman problem (TSP)?",low
"What is a knapsack problem?",low
"What is a subset sum problem?",low
"What is a graph coloring problem?",low
"What is a Hamiltonian path problem?",low
"What is an algorithm design?",low
"What is a brute-force search?",low
"What is a backtracking algorithm?",low
"What is a dynamic programming algorithm?",low
"What is a greedy algorithm?",low
"What is a divide-and-conquer algorithm?",low
"What is a randomized algorithm?",low
"What is a approximation algorithm?",low
"What is a online algorithm?",low
"What is a parallel algorithm?",low
"What is a distributed algorithm?",low
"What is a data structures?",low
"What is an abstract data type (ADT)?",low
"What is a list ADT?",low
"What is a stack ADT?",low
"What is a queue ADT?",low
"What is a deque ADT?",low
"What is a priority queue ADT?",low
"What is a map ADT?",low
"What is a dictionary ADT?",low
"What is a set ADT?",low
"What is a tree ADT?",low
"What is a graph ADT?",low
"What is an array implementation?",low
"What is a linked list implementation?",low
"What is a singly linked list?",low
"What is a doubly linked list?",low
"What is a circular linked list?",low
"What is a skip list?",low
"What is a hash table implementation?",low
"What is a hash function?",low
"What is a collision resolution strategy?",low
"What is a separate chaining?",low
"What is an open addressing?",low
"What is a linear probing?",low
"What is a quadratic probing?",low
"What is a double hashing?",low
"What is a cuckoo hashing?",low
"What is a universal hashing?",low
"What is a perfect hashing?",low
"What is a binary tree implementation?",low
"What is a binary search tree implementation?",low
"What is a self-balancing binary search tree?",low
"What is an AVL tree implementation?",low
"What is a red-black tree implementation?",low
"What is a B-tree implementation?",low
"What is a B+ tree implementation?",low
"What is a heap implementation?",low
"What is a binary heap?",low
"What is a binomial heap?",low
"What is a Fibonacci heap?",low
"What is a trie implementation?",low
"What is a suffix tree?",low
"What is a suffix array?",low
"What is a disjoint-set data structure?",low
"What is a union-find data structure?",low
"What is a path compression?",low
"What is a union by rank/size?",low
"What is a segment tree?",low
"What is a Fenwick tree (Binary Indexed Tree)?",low
"What is a range tree?",low
"What is a k-d tree?",low
"What is a quadtree?",low
"What is an octree?",low
"What is a R-tree?",low
"What is a bloom filter?",low
"What is a count-min sketch?",low
"What is a hyperloglog?",low
"What is a graph implementation?",low
"What is an adjacency matrix representation?",low
"What is an adjacency list representation?",low
"What is an incidence matrix representation?",low
"What is an incidence list representation?",low
"What is a graph traversal algorithm?",low
"What is a breadth-first search (BFS) algorithm?",low
"What is a depth-first search (DFS) algorithm?",low
"What is a topological sorting algorithm?",low
"What is a shortest path algorithm?",low
"What is a Dijkstra's algorithm?",low
"What is a Bellman-Ford algorithm?",low
"What is a Floyd-Warshall algorithm?",low
"What is a A* search algorithm?",low
"What is a minimum spanning tree (MST) algorithm?",low
"What is a Kruskal's algorithm?",low
"What is a Prim's algorithm?",low
"What is a maximum flow algorithm?",low
"What is a Ford-Fulkerson algorithm?",low
"What is an Edmonds-Karp algorithm?",low
"What is a Dinic's algorithm?",low
"What is a matching in a graph?",low
"What is a maximum bipartite matching?",low
"What is a Hopcroft-Karp algorithm?",low
"What is a strongly connected components (SCC) algorithm?",low
"What is a Kosaraju's algorithm?",low
"What is a Tarjan's algorithm?",low
"What is a bridge in a graph?",low
"What is an articulation point in a graph?",low
"What is a graph coloring algorithm?",low
"What is a planar graph?",low
"What is a graph drawing?",low
"What is a network flow analysis?",low
"What is a computational geometry algorithm?",low
"What is a convex hull algorithm?",low
"What is a Graham scan?",low
"What is a Jarvis march?",low
"What is a closest pair of points problem?",low
"What is a line segment intersection problem?",low
"What is a polygon triangulation?",low
"What is a string matching algorithm?",low
"What is a naive string matching algorithm?",low
"What is a Rabin-Karp algorithm?",low
"What is a Knuth-Morris-Pratt (KMP) algorithm?",low
"What is a Boyer-Moore algorithm?",low
"What is a longest common subsequence problem?",low
"What is a longest common substring problem?",low
"What is an edit distance problem?",low
"What is a sequence alignment?",low
"What is a Needleman-Wunsch algorithm?",low
"What is a Smith-Waterman algorithm?",low
"What is a data compression algorithm?",low
"What is a lossless compression?",low
"What is a lossy compression?",low
"What is a run-length encoding (RLE)?",low
"What is a Huffman coding?",low
"What is a Lempel-Ziv (LZ) family of algorithms?",low
"What is a LZ77?",low
"What is a LZ78?",low
"What is a LZW?",low
"What is a DEFLATE?",low
"What is a JPEG?",low
"What is a MPEG?",low
"What is a MP3?",low
"What is a cryptography algorithm?",low
"What is a symmetric-key algorithm?",low
"What is a public-key algorithm?",low
"What is a DES?",low
"What is a 3DES?",low
"What is an AES?",low
"What is a Blowfish?",low
"What is a Twofish?",low
"What is a RC4?",low
"What is a RSA?",low
"What is a Diffie-Hellman?",low
"What is an elliptic curve cryptography (ECC)?",low
"What is a digital signature algorithm (DSA)?",low
"What is a SHA-1?",low
"What is a SHA-256?",low
"What is a MD5?",low
"What is a HMAC?",low
"What is a random number generation?",low
"What is a pseudorandom number generator (PRNG)?",low
"What is a cryptographically secure PRNG (CSPRNG)?",low
"What is a hardware random number generator (HRNG)?",low
"How would you implement a queue using two stacks?",high
"Explain the trade-offs between an array and a linked list for implementing a dynamic-size collection.",high
"How would you balance a binary search tree? Describe the rotations in an AVL tree.",high
"Design a data structure that supports insert, delete, and getRandom in O(1) time.",high
"Explain the concept of a B-tree and discuss why it is preferred over a binary search tree for database indexing.",high
"How would you implement a min-heap in Python? Explain the heapify, insert, and extract-min operations.",high
"Describe the concept of a trie and its common applications, such as autocomplete.",high
"How would you implement a hash table with collision resolution using both separate chaining and open addressing?",high
"Explain the concept of a graph and its different representations (adjacency matrix vs. adjacency list). Discuss the trade-offs.",high
"How do you perform a depth-first search (DFS) and breadth-first search (BFS) on a graph? Compare their use cases.",high
"Describe the trade-offs between different sorting algorithms like Quicksort, Mergesort, and Heapsort.",high
"How would you approach the problem of finding the shortest path between two nodes in a weighted graph?",high
"Explain the concept of dynamic programming and how it can be applied to solve the Longest Increasing Subsequence problem.",high
"Design a system for a ride-sharing service. Which data structure would you use to match drivers with riders in real-time?",high
"What data structure would you use to efficiently recommend products to users based on their past behavior?",high
"You are building a spell checker. What data structures would you use to store and search for valid words efficiently?",high
"Explain the concept of a disjoint-set data structure (Union-Find) and its applications.",high
"How would you implement a suffix tree and what are its primary applications in string processing?",high
"Describe quadtrees and their most common applications, particularly in spatial indexing.",high
"Explain how a hash map and a doubly-linked list can be combined to implement an LRU (Least Recently Used) cache with O(1) complexity for get and put operations.",high
"Compare and contrast linear and non-linear data structures, providing examples and use cases for each.",high
"How would you design a data structure to handle real-time area queries and updates for a strategy game map?",high
"Explain the concept of a persistent data structure and provide an example of its use.",high
"How does a Fibonacci heap differ from a binary heap, and what are the performance advantages for certain graph algorithms?",high
"Design a data structure to store a large dictionary for a spell checker that also supports suggesting corrections for misspelled words.",high
"Explain the internal workings of a skip list and compare its performance to a balanced binary search tree.",high
"How would you find the k-th smallest element in an unsorted array in linear time on average?",high
"Solve the 'Trapping Rain Water' problem and analyze the time and space complexity of your solution.",high
"Explain the Boyer-Moore majority vote algorithm and how it finds the majority element in O(n) time and O(1) space.",high
"How would you find the longest substring without repeating characters in a given string?",high
"Design an algorithm to merge k sorted lists into a single sorted list efficiently.",high
